          Teff = 3500 K,  log g = 0.0,  [M/H] = -5.0

               250   87    0.949 (0.1285)    0.653 -0.445 (0.0176)    1.616 -1.111 (0.0390)
               270   88    0.894 (0.0898)    0.701 -0.289 (0.0038)    1.328 -0.722 (0.0158)
               290   89    0.834 (0.0517)    0.737 -0.145 (0.0102)    1.051 -0.363 (0.0044)
               310   90    0.774 (0.0191)    0.762 -0.019 (0.0156)    0.803 -0.048 (0.0147)
               330   91    0.720 (0.0223)    0.774  0.082 (0.0175)    0.597  0.205 (0.0214)
 CaII triplet  858   92    0.354 (0.0793)    0.519  0.247 (0.0048)   -0.017  0.618 (0.0098)
 WIRE  Johnson V+R   93    0.492 (0.0741)    0.645  0.229 (0.0058)    0.149  0.573 (0.0099)
               LUT   94    0.787 (0.0238)    0.747 -0.061 (0.0082)    0.878 -0.151 (0.0053)
              TESS   95    0.409 (0.0783)    0.571  0.243 (0.0055)    0.045  0.607 (0.0096)


          Teff = 5750 K,  log g = 2.5,  [M/H] = -5.0

 bolometric           0    0.483 (0.0584)    0.603  0.180 (0.0048)    0.212  0.451 (0.0078)
 Stromgren      u     1    0.687 (0.0479)    0.800  0.168 (0.0168)    0.435  0.421 (0.0246)
                v     2    0.742 (0.0266)    0.799  0.085 (0.0081)    0.615  0.213 (0.0113)
                b     3    0.658 (0.0529)    0.767  0.164 (0.0065)    0.411  0.411 (0.0108)
                y     4    0.553 (0.0744)    0.707  0.230 (0.0063)    0.208  0.576 (0.0111)
 Johnson        U     5    0.713 (0.0394)    0.805  0.138 (0.0145)    0.505  0.346 (0.0209)
                B     6    0.696 (0.0406)    0.781  0.129 (0.0070)    0.503  0.321 (0.0113)
                V     7    0.554 (0.0736)    0.706  0.228 (0.0062)    0.211  0.571 (0.0112)
                R     8    0.444 (0.0815)    0.614  0.255 (0.0052)    0.061  0.637 (0.0116)
                I     9    0.359 (0.0791)    0.524  0.248 (0.0046)   -0.013  0.619 (0.0107)
                J    10    0.286 (0.0785)    0.444  0.237 (0.0085)   -0.069  0.591 (0.0057)
                K    11    0.183 (0.0758)    0.324  0.211 (0.0173)   -0.134  0.528 (0.0074)
                L    12    0.138 (0.0553)    0.246  0.163 (0.0074)   -0.107  0.407 (0.0032)
                M    13    0.115 (0.0367)    0.194  0.118 (0.0009)   -0.061  0.294 (0.0053)
                N    14    0.076 (0.0095)    0.096  0.030 (0.0011)    0.032  0.074 (0.0006)
 Cousins        Rc   15    0.465 (0.0814)    0.634  0.254 (0.0055)    0.083  0.636 (0.0116)
                Ic   16    0.383 (0.0812)    0.553  0.255 (0.0045)    0.000  0.638 (0.0115)
 Bessell        UX   17    0.713 (0.0389)    0.804  0.137 (0.0149)    0.507  0.343 (0.0212)
 Bessell        BX   18    0.693 (0.0414)    0.780  0.131 (0.0069)    0.497  0.327 (0.0112)
 Bessell        B    19    0.696 (0.0405)    0.782  0.128 (0.0070)    0.504  0.320 (0.0113)
 Bessell        V    20    0.553 (0.0738)    0.705  0.229 (0.0062)    0.209  0.572 (0.0112)
 Bessell        R    21    0.464 (0.0814)    0.633  0.254 (0.0054)    0.083  0.635 (0.0116)
 Bessell        I    22    0.377 (0.0808)    0.546  0.254 (0.0045)   -0.004  0.635 (0.0114)
 Tycho         TyB   23    0.720 (0.0339)    0.793  0.109 (0.0078)    0.556  0.274 (0.0119)
               TyV   24    0.574 (0.0704)    0.720  0.219 (0.0062)    0.246  0.547 (0.0112)
 Hipparchos    HIP   25    0.606 (0.0595)    0.730  0.187 (0.0059)    0.325  0.467 (0.0115)
 KEPLER              26    0.509 (0.0741)    0.663  0.231 (0.0055)    0.162  0.578 (0.0113)
 COROT SIS           27    0.514 (0.0714)    0.663  0.223 (0.0054)    0.179  0.558 (0.0114)
 COROT EXO           28    0.507 (0.0721)    0.658  0.226 (0.0054)    0.169  0.564 (0.0113)
 Geneva         U    29    0.695 (0.0443)    0.800  0.157 (0.0169)    0.460  0.393 (0.0242)
                B    30    0.720 (0.0337)    0.792  0.109 (0.0077)    0.557  0.271 (0.0118)
                B1   31    0.748 (0.0252)    0.803  0.084 (0.0093)    0.622  0.209 (0.0128)
                B2   32    0.686 (0.0449)    0.779  0.140 (0.0067)    0.475  0.351 (0.0109)
                V    33    0.554 (0.0738)    0.706  0.229 (0.0062)    0.210  0.572 (0.0111)
                V1   34    0.562 (0.0728)    0.713  0.226 (0.0063)    0.224  0.564 (0.0111)
                G    35    0.518 (0.0786)    0.681  0.244 (0.0060)    0.152  0.611 (0.0114)
 Vilnius        U    36    0.697 (0.0433)    0.799  0.154 (0.0169)    0.467  0.384 (0.0241)
                P    37    0.711 (0.0415)    0.808  0.146 (0.0145)    0.492  0.366 (0.0212)
                X    38    0.750 (0.0242)    0.802  0.079 (0.0087)    0.632  0.197 (0.0118)
                Y    39    0.658 (0.0527)    0.767  0.164 (0.0065)    0.413  0.409 (0.0108)
                Z    40    0.590 (0.0683)    0.730  0.211 (0.0063)    0.272  0.528 (0.0110)
                V    41    0.556 (0.0740)    0.709  0.229 (0.0063)    0.212  0.573 (0.0111)
                S    42    0.450 (0.0839)    0.625  0.263 (0.0053)    0.056  0.657 (0.0120)
 Milone         iz   43    0.316 (0.0753)    0.472  0.233 (0.0054)   -0.033  0.583 (0.0087)
                iJ   44    0.283 (0.0781)    0.440  0.235 (0.0085)   -0.070  0.588 (0.0058)
                iH   45    0.219 (0.0892)    0.385  0.248 (0.0213)   -0.152  0.620 (0.0095)
                iK   46    0.179 (0.0748)    0.318  0.208 (0.0169)   -0.133  0.521 (0.0071)
 YMS94         iz    47    0.316 (0.0753)    0.472  0.233 (0.0054)   -0.033  0.583 (0.0087)
               iJ    48    0.283 (0.0781)    0.440  0.235 (0.0085)   -0.070  0.588 (0.0058)
               iH    49    0.219 (0.0892)    0.385  0.248 (0.0213)   -0.152  0.620 (0.0094)
               iK    50    0.179 (0.0747)    0.318  0.208 (0.0169)   -0.134  0.521 (0.0071)
               iL    51    0.133 (0.0517)    0.236  0.154 (0.0061)   -0.099  0.386 (0.0035)
               iLp   52    0.127 (0.0486)    0.225  0.148 (0.0043)   -0.096  0.370 (0.0042)
               iM    53    0.116 (0.0388)    0.198  0.123 (0.0013)   -0.069  0.308 (0.0053)
               in    54    0.078 (0.0095)    0.098  0.030 (0.0011)    0.032  0.075 (0.0007)
               iN    55    0.069 (0.0075)    0.084  0.022 (0.0014)    0.036  0.055 (0.0004)
 Sloan DSS      u    56    0.707 (0.0406)    0.803  0.144 (0.0161)    0.490  0.361 (0.0228)
                g    57    0.642 (0.0551)    0.757  0.172 (0.0063)    0.384  0.430 (0.0111)
                r    58    0.482 (0.0810)    0.651  0.253 (0.0057)    0.103  0.632 (0.0116)
                i    59    0.395 (0.0815)    0.566  0.256 (0.0046)    0.011  0.640 (0.0115)
                z    60    0.344 (0.0777)    0.506  0.243 (0.0046)   -0.021  0.608 (0.0103)
 HST STIS Ly_alpha   61    1.021 (0.1797)    0.571 -0.674 (0.0479)    2.031 -1.685 (0.0795)
            Fclear   62    0.979 (0.1765)    0.505 -0.710 (0.0698)    2.044 -1.775 (0.1019)
             Fsrf2   63    0.981 (0.1775)    0.505 -0.714 (0.0702)    2.052 -1.785 (0.1025)
              Fqtz   64    0.987 (0.1793)    0.507 -0.719 (0.0699)    2.066 -1.798 (0.1025)
              CIII   65    1.021 (0.1870)    0.542 -0.718 (0.0582)    2.098 -1.795 (0.0915)
              MgII   66    0.878 (0.0645)    0.756 -0.184 (0.0115)    1.155 -0.461 (0.0041)
            Nclear   67    0.926 (0.1000)    0.702 -0.336 (0.0061)    1.430 -0.840 (0.0222)
             Nsrf2   68    0.925 (0.0995)    0.702 -0.335 (0.0061)    1.427 -0.836 (0.0221)
              Nqtz   69    0.929 (0.1020)    0.700 -0.343 (0.0063)    1.443 -0.857 (0.0228)
             cn182   70    0.953 (0.1279)    0.639 -0.470 (0.0280)    1.658 -1.175 (0.0499)
             cn270   71    0.912 (0.0870)    0.734 -0.268 (0.0065)    1.314 -0.670 (0.0086)
            Oclear   72    0.513 (0.0690)    0.658  0.217 (0.0051)    0.188  0.542 (0.0114)
         Oclear-lp   73    0.425 (0.0807)    0.594  0.252 (0.0051)    0.047  0.631 (0.0113)
             [OII]   74    0.695 (0.0503)    0.815  0.181 (0.0172)    0.423  0.453 (0.0258)
            [OIII]   75    0.611 (0.0636)    0.741  0.196 (0.0066)    0.317  0.490 (0.0106)
 2MASS          J    76    0.285 (0.0781)    0.441  0.235 (0.0084)   -0.068  0.588 (0.0058)
 2MASS          H    77    0.220 (0.0885)    0.384  0.246 (0.0209)   -0.150  0.615 (0.0091)
 2MASS          Ks   78    0.182 (0.0754)    0.322  0.210 (0.0172)   -0.133  0.525 (0.0074)
 SWASP               79    0.564 (0.0680)    0.705  0.212 (0.0058)    0.246  0.530 (0.0113)
 MOST                80    0.548 (0.0698)    0.694  0.218 (0.0057)    0.221  0.545 (0.0113)
 GAIA (2006)    G    81    0.527 (0.0700)    0.673  0.219 (0.0054)    0.198  0.548 (0.0114)
 GAIA (2010)    G    82    0.502 (0.0727)    0.653  0.228 (0.0053)    0.160  0.569 (0.0114)
 GAIA (2010)    BP   83    0.577 (0.0657)    0.714  0.206 (0.0058)    0.268  0.515 (0.0116)
 GAIA (2010)    RP   84    0.391 (0.0808)    0.560  0.254 (0.0047)    0.011  0.634 (0.0113)
 GAIA (2010)  G_RV   85    0.352 (0.0798)    0.519  0.251 (0.0043)   -0.025  0.627 (0.0111)
 Milone        230   86    1.024 (0.1683)    0.626 -0.597 (0.0296)    1.919 -1.492 (0.0582)
               250   87    0.973 (0.1285)    0.687 -0.428 (0.0095)    1.615 -1.070 (0.0298)
               270   88    0.911 (0.0858)    0.736 -0.263 (0.0069)    1.305 -0.657 (0.0080)
               290   89    0.847 (0.0461)    0.769 -0.118 (0.0146)    1.024 -0.294 (0.0091)
               310   90    0.787 (0.0167)    0.790  0.004 (0.0179)    0.780  0.011 (0.0181)
               330   91    0.733 (0.0274)    0.799  0.099 (0.0180)    0.585  0.247 (0.0226)
 CaII triplet  858   92    0.351 (0.0802)    0.519  0.252 (0.0043)   -0.028  0.631 (0.0113)
 WIRE  Johnson V+R   93    0.483 (0.0787)    0.646  0.246 (0.0055)    0.114  0.614 (0.0114)
               LUT   94    0.800 (0.0204)    0.771 -0.043 (0.0105)    0.864 -0.108 (0.0085)
              TESS   95    0.403 (0.0805)    0.571  0.252 (0.0049)    0.025  0.630 (0.0112)


          Teff = 5750 K,  log g = 3.0,  [M/H] = -5.0

 bolometric           0    0.480 (0.0619)    0.609  0.193 (0.0047)    0.192  0.481 (0.0088)
 Stromgren      u     1    0.700 (0.0528)    0.821  0.182 (0.0157)    0.427  0.455 (0.0240)
                v     2    0.717 (0.0433)    0.809  0.138 (0.0077)    0.510  0.346 (0.0127)
                b     3    0.637 (0.0650)    0.772  0.203 (0.0066)    0.333  0.507 (0.0121)
                y     4    0.540 (0.0811)    0.709  0.253 (0.0061)    0.160  0.633 (0.0126)
 Johnson        U     5    0.707 (0.0505)    0.822  0.173 (0.0133)    0.448  0.432 (0.0211)
                B     6    0.673 (0.0549)    0.789  0.174 (0.0069)    0.413  0.434 (0.0126)
                V     7    0.540 (0.0804)    0.708  0.251 (0.0060)    0.163  0.629 (0.0126)
                R     8    0.437 (0.0844)    0.614  0.266 (0.0049)    0.037  0.666 (0.0130)
                I     9    0.355 (0.0805)    0.524  0.254 (0.0041)   -0.027  0.636 (0.0120)
                J    10    0.282 (0.0797)    0.443  0.241 (0.0080)   -0.080  0.603 (0.0064)
                K    11    0.181 (0.0765)    0.324  0.213 (0.0173)   -0.138  0.533 (0.0073)
                L    12    0.138 (0.0555)    0.248  0.165 (0.0069)   -0.110  0.412 (0.0034)
                M    13    0.116 (0.0360)    0.194  0.116 (0.0008)   -0.058  0.290 (0.0056)
                N    14    0.076 (0.0090)    0.095  0.029 (0.0007)    0.033  0.072 (0.0010)
 Cousins        Rc   15    0.457 (0.0849)    0.635  0.267 (0.0051)    0.056  0.668 (0.0130)
                Ic   16    0.379 (0.0826)    0.554  0.262 (0.0042)   -0.013  0.654 (0.0127)
 Bessell        UX   17    0.710 (0.0491)    0.822  0.169 (0.0138)    0.456  0.422 (0.0214)
 Bessell        BX   18    0.671 (0.0555)    0.788  0.175 (0.0069)    0.408  0.438 (0.0125)
 Bessell        B    19    0.674 (0.0548)    0.789  0.173 (0.0069)    0.414  0.433 (0.0126)
 Bessell        V    20    0.539 (0.0805)    0.707  0.252 (0.0060)    0.162  0.629 (0.0126)
 Bessell        R    21    0.456 (0.0848)    0.634  0.267 (0.0051)    0.055  0.668 (0.0130)
 Bessell        I    22    0.374 (0.0822)    0.547  0.260 (0.0041)   -0.017  0.651 (0.0126)
 Tycho         TyB   23    0.697 (0.0495)    0.802  0.158 (0.0075)    0.460  0.396 (0.0132)
               TyV   24    0.559 (0.0781)    0.722  0.244 (0.0061)    0.193  0.611 (0.0126)
 Hipparchos    HIP   25    0.589 (0.0694)    0.734  0.219 (0.0061)    0.261  0.546 (0.0128)
 KEPLER              26    0.498 (0.0797)    0.665  0.251 (0.0054)    0.122  0.626 (0.0127)
 COROT SIS           27    0.502 (0.0774)    0.664  0.244 (0.0053)    0.136  0.610 (0.0127)
 COROT EXO           28    0.496 (0.0779)    0.660  0.245 (0.0053)    0.128  0.614 (0.0127)
 Geneva         U    29    0.706 (0.0498)    0.821  0.173 (0.0158)    0.447  0.432 (0.0238)
                B    30    0.696 (0.0493)    0.801  0.158 (0.0074)    0.460  0.394 (0.0131)
                B1   31    0.723 (0.0421)    0.815  0.138 (0.0086)    0.516  0.344 (0.0141)
                B2   32    0.664 (0.0585)    0.786  0.183 (0.0068)    0.389  0.458 (0.0122)
                V    33    0.540 (0.0806)    0.708  0.252 (0.0060)    0.163  0.630 (0.0126)
                V1   34    0.548 (0.0800)    0.715  0.250 (0.0061)    0.174  0.624 (0.0125)
                G    35    0.508 (0.0839)    0.683  0.263 (0.0057)    0.113  0.657 (0.0129)
 Vilnius        U    36    0.709 (0.0485)    0.821  0.168 (0.0160)    0.457  0.421 (0.0237)
                P    37    0.699 (0.0546)    0.823  0.186 (0.0129)    0.420  0.466 (0.0213)
                X    38    0.724 (0.0412)    0.813  0.133 (0.0082)    0.525  0.333 (0.0132)
                Y    39    0.638 (0.0648)    0.772  0.202 (0.0066)    0.334  0.505 (0.0121)
                Z    40    0.574 (0.0766)    0.733  0.239 (0.0063)    0.215  0.597 (0.0123)
                V    41    0.542 (0.0808)    0.711  0.252 (0.0061)    0.164  0.631 (0.0126)
                S    42    0.442 (0.0869)    0.625  0.274 (0.0049)    0.031  0.686 (0.0134)
 Milone         iz   43    0.312 (0.0769)    0.472  0.240 (0.0047)   -0.048  0.600 (0.0099)
                iJ   44    0.279 (0.0793)    0.439  0.240 (0.0081)   -0.081  0.600 (0.0065)
                iH   45    0.219 (0.0895)    0.384  0.248 (0.0216)   -0.153  0.620 (0.0098)
                iK   46    0.178 (0.0755)    0.318  0.211 (0.0168)   -0.138  0.527 (0.0070)
 YMS94         iz    47    0.312 (0.0768)    0.472  0.240 (0.0047)   -0.048  0.600 (0.0099)
               iJ    48    0.279 (0.0793)    0.439  0.240 (0.0081)   -0.081  0.600 (0.0065)
               iH    49    0.219 (0.0895)    0.384  0.248 (0.0216)   -0.153  0.620 (0.0098)
               iK    50    0.178 (0.0755)    0.318  0.211 (0.0168)   -0.138  0.527 (0.0070)
               iL    51    0.134 (0.0516)    0.237  0.155 (0.0056)   -0.098  0.387 (0.0038)
               iLp   52    0.127 (0.0483)    0.226  0.148 (0.0038)   -0.095  0.371 (0.0046)
               iM    53    0.117 (0.0381)    0.198  0.122 (0.0011)   -0.065  0.304 (0.0056)
               in    54    0.078 (0.0088)    0.096  0.028 (0.0008)    0.036  0.070 (0.0008)
               iN    55    0.068 (0.0071)    0.083  0.022 (0.0008)    0.034  0.056 (0.0006)
 Sloan DSS      u    56    0.710 (0.0488)    0.822  0.169 (0.0150)    0.456  0.423 (0.0227)
                g    57    0.623 (0.0664)    0.761  0.208 (0.0064)    0.310  0.520 (0.0124)
                r    58    0.473 (0.0850)    0.652  0.267 (0.0053)    0.072  0.668 (0.0130)
                i    59    0.391 (0.0832)    0.566  0.263 (0.0043)   -0.004  0.658 (0.0128)
                z    60    0.339 (0.0792)    0.506  0.250 (0.0041)   -0.035  0.624 (0.0115)
 HST STIS Ly_alpha   61    1.073 (0.1970)    0.594 -0.719 (0.0430)    2.151 -1.797 (0.0770)
            Fclear   62    1.150 (0.2513)    0.494 -0.984 (0.0856)    2.626 -2.461 (0.1306)
             Fsrf2   63    1.155 (0.2535)    0.493 -0.993 (0.0864)    2.644 -2.483 (0.1318)
              Fqtz   64    1.154 (0.2522)    0.496 -0.987 (0.0853)    2.634 -2.466 (0.1304)
              CIII   65    1.078 (0.2079)    0.563 -0.773 (0.0531)    2.237 -1.932 (0.0895)
              MgII   66    0.889 (0.0566)    0.789 -0.151 (0.0155)    1.116 -0.378 (0.0084)
            Nclear   67    0.948 (0.0991)    0.732 -0.324 (0.0012)    1.434 -0.809 (0.0166)
             Nsrf2   68    0.947 (0.0986)    0.732 -0.322 (0.0012)    1.430 -0.806 (0.0165)
              Nqtz   69    0.951 (0.1010)    0.731 -0.330 (0.0013)    1.446 -0.825 (0.0171)
             cn182   70    0.997 (0.1419)    0.657 -0.510 (0.0255)    1.761 -1.274 (0.0495)
             cn270   71    0.924 (0.0789)    0.769 -0.231 (0.0116)    1.271 -0.579 (0.0030)
            Oclear   72    0.503 (0.0748)    0.661  0.236 (0.0052)    0.149  0.591 (0.0128)
         Oclear-lp   73    0.419 (0.0833)    0.594  0.263 (0.0047)    0.025  0.657 (0.0127)
             [OII]   74    0.680 (0.0643)    0.828  0.223 (0.0149)    0.345  0.557 (0.0253)
            [OIII]   75    0.594 (0.0727)    0.744  0.225 (0.0067)    0.256  0.563 (0.0118)
 2MASS          J    76    0.281 (0.0793)    0.441  0.240 (0.0080)   -0.080  0.601 (0.0065)
 2MASS          H    77    0.219 (0.0888)    0.383  0.246 (0.0212)   -0.151  0.616 (0.0094)
 2MASS          Ks   78    0.181 (0.0762)    0.322  0.212 (0.0171)   -0.138  0.531 (0.0072)
 SWASP               79    0.549 (0.0757)    0.708  0.238 (0.0058)    0.192  0.594 (0.0126)
 MOST                80    0.535 (0.0770)    0.696  0.242 (0.0057)    0.172  0.604 (0.0126)
 GAIA (2006)    G    81    0.514 (0.0765)    0.675  0.241 (0.0054)    0.153  0.603 (0.0128)
 GAIA (2010)    G    82    0.491 (0.0783)    0.655  0.247 (0.0052)    0.121  0.617 (0.0127)
 GAIA (2010)    BP   83    0.562 (0.0740)    0.718  0.233 (0.0059)    0.213  0.582 (0.0129)
 GAIA (2010)    RP   84    0.386 (0.0827)    0.561  0.261 (0.0043)   -0.006  0.653 (0.0126)
 GAIA (2010)  G_RV   85    0.349 (0.0809)    0.520  0.256 (0.0040)   -0.035  0.640 (0.0123)
 Milone        230   86    1.046 (0.1667)    0.667 -0.569 (0.0186)    1.899 -1.422 (0.0459)
               250   87    0.988 (0.1223)    0.727 -0.391 (0.0040)    1.575 -0.978 (0.0193)
               270   88    0.922 (0.0774)    0.771 -0.226 (0.0121)    1.260 -0.565 (0.0031)
               290   89    0.859 (0.0390)    0.800 -0.088 (0.0173)    0.991 -0.221 (0.0131)
               310   90    0.798 (0.0158)    0.817  0.028 (0.0186)    0.756  0.070 (0.0199)
               330   91    0.745 (0.0333)    0.823  0.118 (0.0175)    0.567  0.296 (0.0230)
 CaII triplet  858   92    0.349 (0.0811)    0.520  0.257 (0.0040)   -0.037  0.642 (0.0123)
 WIRE  Johnson V+R   93    0.473 (0.0830)    0.647  0.261 (0.0053)    0.082  0.653 (0.0128)
               LUT   94    0.810 (0.0160)    0.796 -0.021 (0.0124)    0.841 -0.052 (0.0114)
              TESS   95    0.398 (0.0827)    0.572  0.261 (0.0045)    0.006  0.653 (0.0125)


          Teff = 5750 K,  log g = 3.5,  [M/H] = -5.0

 bolometric           0    0.476 (0.0662)    0.614  0.207 (0.0046)    0.165  0.518 (0.0098)
 Stromgren      u     1    0.707 (0.0587)    0.839  0.198 (0.0137)    0.410  0.496 (0.0225)
                v     2    0.692 (0.0591)    0.817  0.188 (0.0073)    0.409  0.470 (0.0138)
                b     3    0.617 (0.0760)    0.775  0.238 (0.0065)    0.259  0.596 (0.0133)
                y     4    0.526 (0.0875)    0.709  0.275 (0.0060)    0.114  0.687 (0.0138)
 Johnson        U     5    0.700 (0.0611)    0.836  0.204 (0.0117)    0.393  0.511 (0.0206)
